timestamp,pulses
2026-03-15T18:20:09.514110,2132
2026-03-15T18:20:18.170987,2132
2026-03-15T18:20:24.354254,4219
2026-03-15T18:20:30.949124,2118
2026-03-15T18:20:37.834279,2128
2026-03-15T18:20:44.304436,2108
2026-03-15T18:20:49.145007,2120
2026-03-15T18:20:54.931119,2068
2026-03-15T18:21:01.282339,2132
2026-03-15T18:21:06.307431,2100
2026-03-15T18:21:12.682741,2125
2026-03-15T18:21:22.720173,2113
2026-03-15T18:21:28.675781,2115
2026-03-15T18:21:35.575373,2108
2026-03-15T18:21:42.025555,2169
2026-03-15T18:21:47.921159,2056
2026-03-15T18:21:54.643632,2105
2026-03-15T18:21:59.377960,2143
2026-03-15T18:22:09.197958,2121
2026-03-15T18:22:16.081954,2108
2026-03-15T18:22:22.286895,2118
2026-03-15T18:22:27.272728,2113
2026-03-15T18:22:31.993933,2089
2026-03-15T18:22:37.984216,2121
2026-03-15T18:22:43.100645,2155
2026-03-15T18:22:48.841454,2077
2026-03-15T18:22:52.775098,2109
2026-03-15T18:22:59.222041,2137
2026-03-15T18:23:05.402488,2128
2026-03-15T18:23:10.458593,2070
2026-03-15T18:23:19.562293,2117
2026-03-15T18:23:26.068727,2127
2026-03-15T18:23:30.594834,2069
2026-03-15T18:23:34.994213,2114
2026-03-15T18:23:40.623121,2106
2026-03-15T18:23:45.983253,2140
2026-03-15T18:24:26.439511,2044
2026-03-15T18:24:48.056227,2057
2026-03-15T18:24:51.893159,2146
2026-03-15T18:25:01.200336,2128
2026-03-15T18:25:05.998207,2132
2026-03-15T18:25:11.242081,2107
2026-03-15T18:25:17.586362,2083
2026-03-15T18:25:29.535868,2123
2026-03-15T18:25:35.881751,2093
2026-03-15T18:25:41.928227,2130
2026-03-15T18:25:46.528993,2105
2026-03-15T18:25:50.715329,2119
2026-03-15T18:25:54.956815,2088
2026-03-15T18:26:06.407448,2114
2026-03-17T10:11:58.390259,2127
2026-03-17T10:12:05.012851,2135
2026-03-17T10:12:10.476466,1155
2026-03-17T10:12:14.709494,2105
2026-03-17T10:12:19.643416,2097
2026-03-17T10:12:24.985713,2122
2026-03-17T10:12:29.454787,2092
2026-03-17T10:12:34.452077,2170
2026-03-17T10:12:41.020021,2094
2026-03-17T10:12:47.918677,2100
2026-03-17T10:12:53.442687,2133
2026-03-17T10:12:58.609466,2086
2026-03-17T10:13:05.557593,2158
2026-03-17T10:13:10.637475,1089
2026-03-17T10:13:14.261567,2081
2026-03-17T10:13:19.284517,2096
2026-03-17T10:13:24.067417,2090
2026-03-17T10:13:29.369614,1873
2026-03-17T10:13:33.068744,2091
2026-03-17T10:13:38.225809,2132
2026-03-17T10:13:42.874408,1753
2026-03-17T10:13:48.496680,2115
2026-03-17T10:13:54.734443,2110
2026-03-17T10:14:00.903281,2073
2026-03-17T10:14:05.585912,2117
2026-03-17T10:14:10.558258,2105
2026-03-17T10:14:14.251598,2139
2026-03-17T10:14:18.949525,2088
2026-03-17T10:14:22.802914,2050
2026-03-17T10:14:27.636550,2131
2026-03-17T10:14:33.027546,2126
2026-03-17T10:14:37.195594,2097
2026-03-17T10:14:43.363418,1886
2026-03-17T10:14:48.190156,2134
2026-03-17T10:14:53.576591,1902
2026-03-17T10:14:58.147686,2108
